date,price
2020-01-02,98.39
2020-01-03,97.76
2020-01-06,97.35
2020-01-07,98.16
2020-01-08,97.51
2020-01-09,96.84
2020-01-10,96.55
2020-01-13,96.88
2020-01-14,96.29
2020-01-15,96.09
2020-01-16,95.42
2020-01-17,95.63
2020-01-20,95.37
2020-01-21,94.73
2020-01-22,95.23
2020-01-23,95.05
2020-01-24,94.64
2020-01-27,94.34
2020-01-28,94.2
2020-01-29,95.14
2020-01-30,94.68
2020-01-31,95.23
2020-02-03,95.36
2020-02-04,96.22
2020-02-05,96.46
2020-02-06,96.79
2020-02-07,96.86
2020-02-10,97.17
2020-02-11,97.75
2020-02-12,98.05
2020-02-13,98.74
2020-02-14,97.98
2020-02-17,98.24
2020-02-18,99.07
2020-02-19,98.93
2020-02-20,99.33
2020-02-21,98.69
2020-02-24,99.03
2020-02-25,99.34
2020-02-26,100.49
2020-02-27,103.98
2020-02-28,100.93
2020-03-02,107.81
2020-03-03,110.23
2020-03-04,108.75
2020-03-05,107.68
2020-03-06,110.57
2020-03-09,113.96
2020-03-10,117.54
2020-03-11,114.21
2020-03-12,119.41
2020-03-13,117.19
2020-03-16,115.49
2020-03-17,115.6
2020-03-18,115.9
2020-03-19,117.69
2020-03-20,123.52
2020-03-23,125.18
2020-03-24,116.72
2020-03-25,112.77
2020-03-26,116.96
2020-03-27,109.49
2020-03-30,109.52
2020-03-31,111.05
2020-04-01,106.59
2020-04-02,103.32
2020-04-03,104.25
2020-04-06,97.53
2020-04-07,95.3
2020-04-08,96.64
2020-04-09,93.24
2020-04-10,90.89
2020-04-13,93.65
2020-04-14,88.45
2020-04-15,87.93
2020-04-16,87.59
2020-04-17,87.67
2020-04-20,86.76
2020-04-21,89.59
2020-04-22,86.75
2020-04-23,85.15
2020-04-24,90.35
2020-04-27,90.32
2020-04-28,93.33
2020-04-29,96.84
2020-04-30,96.29
2020-05-01,95.62
2020-05-04,98.07
2020-05-05,97.14
2020-05-06,97.46
2020-05-07,98.34
2020-05-08,103.06
2020-05-11,106.83
2020-05-12,103.64
2020-05-13,102.25
2020-05-14,104.57
2020-05-15,105.85
2020-05-18,106.02
2020-05-19,104.6
2020-05-20,102.42
2020-05-21,101.05
2020-05-22,98.6
2020-05-25,100.98
2020-05-26,98.52
2020-05-27,97.07
2020-05-28,100.34
2020-05-29,100.09
2020-06-01,103.1
2020-06-02,98.01
2020-06-03,97.77
2020-06-04,97.41
2020-06-05,97.09
2020-06-08,96.55
2020-06-09,96.25
2020-06-10,96.28
2020-06-11,97.14
2020-06-12,97.04
2020-06-15,96.72
2020-06-16,96.77
2020-06-17,97.21
2020-06-18,96.94
2020-06-19,96.89
2020-06-22,97.95
2020-06-23,97.7
2020-06-24,98.63
2020-06-25,98.65
2020-06-26,99.45
2020-06-29,99.5
2020-06-30,98.81
2020-07-01,98.12
2020-07-02,98.08
2020-07-03,98.17
2020-07-06,99.05
2020-07-07,98.83
2020-07-08,98.59
2020-07-09,99.14
2020-07-10,100.05
2020-07-13,100.09
2020-07-14,99.34
2020-07-15,98.98
2020-07-16,98.6
2020-07-17,99.0
2020-07-20,97.82
2020-07-21,97.24
2020-07-22,98.53
2020-07-23,99.39
2020-07-24,99.37
2020-07-27,100.0
2020-07-28,100.4
2020-07-29,100.98
2020-07-30,100.96
